Data,Operazione,SIM,Prodotto,Ticker,Asset Name,TER,Valuta,QT. Scambio,Prezzo,Prezzo EUR,Imp. Nominale Operaz.,Commissioni,QT. Attuale Asset,PMPC Asset,Imp. Residuo Asset,Imp. Effettivo Operaz.,Costo Rilasciato,Plusv. Lorda,Minusv. Generata,Scadenza,Zainetto Fiscale,Plusv. Imponibile,Imposta,Netto,Liquidita Attuale,Valore Titoli,NAV,Liq. Storica Immessa
30-05-2025,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0
30-05-2025,deposit,BG Saxo,,,,,EUR,,,,200,,,,,200,,,,,0,,,,200,0,200,200
30-05-2025,buy,BG Saxo,Stock,IONQ,IONQ INC,,USD,4,-41,-36.2829,-145.131472,0.882736,4,36.503552,146.014208,-146.014208,,,,,0,,,,53.985792,145.131472,199.117264,200
10-06-2025,deposit,BG Saxo,,,,,EUR,,,,100,,,,,100,,,,,0,,,,153.985792,145.131472,299.117264,300
10-06-2025,buy,BG Saxo,Stock,QUBT,QUANTUM COMPUTING INC,,USD,9,-15.8779,-13.9365,-125.4281537997,0.875533,9,14.0337429777444,126.3036867997,-126.3036867997,,,,,0,,,,27.6821052003,270.5596257997,298.241731,300
16-06-2025,sell,BG Saxo,Stock,QUBT,QUANTUM COMPUTING INC,,USD,-9,19.132,16.4671,148.204105668,0.858559,0,0,0,147.345546668,126.3036867997,21.0418598683,,,0,21.0418598683,5.470883565758,15.570976302542,169.556768302542,144.255939,313.812707302542,300
17-06-2025,buy,BG Saxo,Stock,QUBT,QUANTUM COMPUTING INC,,USD,8,-20.2862,-17.6187,-140.9494913376,0.866335,8,17.7269782922,141.8158263376,-141.8158263376,,,,,0,,,,27.740941964942,285.2054303376,312.946372302542,300
